Prefecture	Municipality	prec_no	block_no	URL	平年降水量(mm)	平年平均気温(℃)	平年日最高気温(℃)	平年日最低気温(℃)	平年日照時間(時間)	平年降雪量(cm)	歴代最高気温(℃)	歴代最低気温(℃)	歴代最大降雪量(cm)
青森県	三戸	31	0179	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=0179&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
青森県	今別	31	1026	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=1026&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
青森県	六ケ所	31	1027	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=1027&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
青森県	大間	31	1041	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=1041&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
青森県	大和山	31	1042	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=1042&year=&month=&day=&view=	true	false	false	false	false	false	false	false	false
青森県	酸ケ湯	31	1079	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=1079&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
青森県	岳	31	1108	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=1108&year=&month=&day=&view=	true	false	false	false	false	false	false	false	false
青森県	長慶平	31	1110	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=1110&year=&month=&day=&view=	false	false	false	false	false	false	false	false	false
青森県	市浦	31	1119	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=1119&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
青森県	小田野沢	31	1122	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=1122&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
青森県	脇野沢	31	1124	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=1124&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
青森県	七戸	31	1183	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=1183&year=&month=&day=&view=	true	false	false	false	false	false	false	false	false
青森県	戸来	31	1272	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=1272&year=&month=&day=&view=	true	false	false	false	false	false	false	false	false
青森県	温川	31	1406	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=1406&year=&month=&day=&view=	true	false	false	false	false	false	false	false	false
青森県	青森大谷	31	1495	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=1495&year=&month=&day=&view=	true	true	true	true	false	false	false	false	false
青森県	湯野川	31	1559	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=1559&year=&month=&day=&view=	true	false	false	false	false	false	false	false	false
秋田県	田代岳	32	0180	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=0180&year=&month=&day=&view=	false	false	false	false	false	false	false	false	false
秋田県	陣場	32	0181	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=0181&year=&month=&day=&view=	true	false	false	false	false	false	false	false	false
秋田県	杉沢山	32	0182	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=0182&year=&month=&day=&view=	false	false	false	false	false	false	false	false	false
秋田県	能代	32	0183	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=0183&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
秋田県	鷹巣	32	0184	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=0184&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
秋田県	鹿角	32	0185	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=0185&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
秋田県	湯瀬	32	0186	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=0186&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
秋田県	森吉山	32	0187	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=0187&year=&month=&day=&view=	false	false	false	false	false	false	false	false	false
秋田県	五城目	32	0188	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=0188&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
秋田県	男鹿本山	32	0189	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=0189&year=&month=&day=&view=	false	false	false	false	false	false	false	false	false
秋田県	秋田	32	47582	https://www.data.jma.go.jp/stats/etrn/view/nml_sfc_ym.php?prec_no=32&block_no=47582&year=&month=&day=&view=	false	false	false	false	false	false	false	false	false
秋田県	太平山	32	0191	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=0191&year=&month=&day=&view=	false	false	false	false	false	false	false	false	false
秋田県	岩見三内	32	0192	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=0192&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
秋田県	角館	32	0193	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=0193&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
秋田県	田沢湖	32	0194	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=0194&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
秋田県	大曲	32	0195	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=0195&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
秋田県	本荘	32	0196	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=0196&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
秋田県	保呂羽山	32	0197	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=0197&year=&month=&day=&view=	false	false	false	false	false	false	false	false	false
秋田県	横手	32	0198	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=0198&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
秋田県	にかほ	32	0199	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=0199&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
秋田県	矢島	32	0200	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=0200&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
秋田県	三森山	32	0201	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=0201&year=&month=&day=&view=	false	false	false	false	false	false	false	false	false
秋田県	湯沢	32	0202	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=0202&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
秋田県	姥井戸山	32	0203	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=0203&year=&month=&day=&view=	false	false	false	false	false	false	false	false	false
秋田県	湯の岱	32	0204	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=0204&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
秋田県	大館	32	0912	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=0912&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
秋田県	大潟	32	1035	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=1035&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
秋田県	男鹿	32	1036	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=1036&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
秋田県	八森	32	1043	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=1043&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
秋田県	大正寺	32	1050	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=1050&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
秋田県	東成瀬	32	1109	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=1109&year=&month=&day=&view=	true	false	false	false	false	false	false	false	false
秋田県	比立内	32	1115	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=1115&year=&month=&day=&view=	true	false	false	false	false	false	false	false	false
秋田県	東由利	32	1117	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=1117&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
秋田県	阿仁合	32	1131	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=1131&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
秋田県	鎧畑	32	1167	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=1167&year=&month=&day=&view=	true	false	false	false	false	false	false	false	false
秋田県	藤里	32	1273	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=1273&year=&month=&day=&view=	true	false	false	false	false	false	false	false	false
秋田県	桧木内	32	1278	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=1278&year=&month=&day=&view=	true	false	false	false	false	false	false	false	false
秋田県	八幡平	32	1289	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=1289&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
秋田県	笹子	32	1407	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=1407&year=&month=&day=&view=	true	false	false	false	false	false	false	false	false
秋田県	藤原	32	1408	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=1408&year=&month=&day=&view=	true	false	false	false	false	false	false	false	false
秋田県	男鹿真山	32	1422	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=1422&year=&month=&day=&view=	true	false	false	false	false	false	false	false	false
秋田県	仁別	32	1425	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=1425&year=&month=&day=&view=	true	false	false	false	false	false	false	false	false
秋田県	脇神	32	1463	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=1463&year=&month=&day=&view=	true	true	true	true	false	false	false	false	false
秋田県	雄和	32	1511	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=1511&year=&month=&day=&view=	true	true	true	true	false	false	false	false	false
秋田県	田沢湖高原	32	1652	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=1652&year=&month=&day=&view=	false	false	false	false	false	false	false	false	false
岩手県	種市	33	0205	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=0205&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
岩手県	軽米	33	0206	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=0206&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
岩手県	二戸	33	0207	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=0207&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
岩手県	折爪岳	33	0208	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=0208&year=&month=&day=&view=	false	false	false	false	false	false	false	false	false
岩手県	久慈	33	0209	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=0209&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
岩手県	西岳	33	0210	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=0210&year=&month=&day=&view=	false	false	false	false	false	false	false	false	false
岩手県	葛巻	33	0211	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=0211&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
岩手県	袖山	33	0212	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=0212&year=&month=&day=&view=	false	false	false	false	false	false	false	false	false
岩手県	茶臼岳	33	0213	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=0213&year=&month=&day=&view=	false	false	false	false	false	false	false	false	false
岩手県	岩手松尾	33	0214	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=0214&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
岩手県	岩手山	33	0215	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=0215&year=&month=&day=&view=	false	false	false	false	false	false	false	false	false
岩手県	岩洞	33	0216	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=0216&year=&month=&day=&view=	false	false	false	false	false	false	false	false	false
岩手県	大森山	33	0217	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=0217&year=&month=&day=&view=	false	false	false	false	false	false	false	false	false
岩手県	岩泉	33	0218	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=0218&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
岩手県	駒ケ岳	33	0219	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=0219&year=&month=&day=&view=	false	false	false	false	false	false	false	false	false
岩手県	害鷹森	33	0220	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=0220&year=&month=&day=&view=	false	false	false	false	false	false	false	false	false
岩手県	雫石	33	0221	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=0221&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
岩手県	盛岡	33	47584	https://www.data.jma.go.jp/stats/etrn/view/nml_sfc_ym.php?prec_no=33&block_no=47584&year=&month=&day=&view=	false	false	false	false	false	false	false	false	false
岩手県	宮古	33	47585	https://www.data.jma.go.jp/stats/etrn/view/nml_sfc_ym.php?prec_no=33&block_no=47585&year=&month=&day=&view=	false	false	false	false	false	false	false	false	false
岩手県	薬師岳	33	0224	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=0224&year=&month=&day=&view=	false	false	false	false	false	false	false	false	false
岩手県	黒森山	33	0225	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=0225&year=&month=&day=&view=	false	false	false	false	false	false	false	false	false
岩手県	豊沢	33	0226	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=0226&year=&month=&day=&view=	true	false	false	false	false	false	false	false	false
岩手県	花巻	33	0227	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=0227&year=&month=&day=&view=	true	true	true	true	false	false	false	false	false
岩手県	大迫	33	0228	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=0228&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
岩手県	湯田	33	0229	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=0229&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
岩手県	北上	33	0230	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=0230&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
岩手県	遠野	33	0231	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=0231&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
岩手県	五葉山	33	0232	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=0232&year=&month=&day=&view=	false	false	false	false	false	false	false	false	false
岩手県	釜石	33	0233	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=0233&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
岩手県	岳山	33	0234	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=0234&year=&month=&day=&view=	false	false	false	false	false	false	false	false	false
岩手県	若柳	33	0235	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=0235&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
岩手県	江刺	33	0236	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=0236&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
岩手県	大船渡	33	47512	https://www.data.jma.go.jp/stats/etrn/view/nml_sfc_ym.php?prec_no=33&block_no=47512&year=&month=&day=&view=	false	false	false	false	false	false	false	false	false
岩手県	一関	33	0238	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=0238&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
岩手県	千厩	33	0239	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=0239&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
岩手県	室根山	33	0240	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=0240&year=&month=&day=&view=	false	false	false	false	false	false	false	false	false
岩手県	祭畤	33	1028	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1028&year=&month=&day=&view=	true	false	false	false	false	false	false	false	false
岩手県	好摩	33	1032	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1032&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
岩手県	山田	33	1033	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1033&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
岩手県	大野	33	1037	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1037&year=&month=&day=&view=	true	false	false	false	false	false	false	false	false
岩手県	衣川	33	1045	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1045&year=&month=&day=&view=	true	false	false	false	false	false	false	false	false
岩手県	薮川	33	1078	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1078&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
岩手県	米里	33	1113	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1113&year=&month=&day=&view=	true	false	false	false	false	false	false	false	false
岩手県	沢内	33	1118	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1118&year=&month=&day=&view=	false	false	false	false	false	false	false	false	false
岩手県	荒屋	33	1120	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1120&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
岩手県	普代	33	1123	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1123&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
岩手県	紫波	33	1128	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1128&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
岩手県	葛根田	33	1168	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1168&year=&month=&day=&view=	true	false	false	false	false	false	false	false	false
岩手県	住田	33	1206	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1206&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
岩手県	小本	33	1212	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1212&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
岩手県	奥中山	33	1215	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1215&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
岩手県	山形	33	1219	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1219&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
岩手県	川井	33	1224	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1224&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
岩手県	門馬	33	1225	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1225&year=&month=&day=&view=	false	false	false	false	false	false	false	false	false
岩手県	下戸鎖	33	1332	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1332&year=&month=&day=&view=	true	false	false	false	false	false	false	false	false
岩手県	区界	33	1447	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1447&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
岩手県	大槌	33	1508	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1508&year=&month=&day=&view=	true	false	false	false	false	false	false	false	false
岩手県	大東	33	1557	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1557&year=&month=&day=&view=	true	false	false	false	false	false	false	false	false
岩手県	金ケ崎	33	1558	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1558&year=&month=&day=&view=	true	false	false	false	false	false	false	false	false
岩手県	滝沢	33	1560	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1560&year=&month=&day=&view=	true	false	false	false	false	false	false	false	false
岩手県	附馬牛	33	1563	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1563&year=&month=&day=&view=	true	false	false	false	false	false	false	false	false
岩手県	厳美	33	1598	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1598&year=&month=&day=&view=	false	false	false	false	false	false	false	false	false
岩手県	刈屋	33	1627	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1627&year=&month=&day=&view=	true	false	false	false	false	false	false	false	false
岩手県	新町	33	1628	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1628&year=&month=&day=&view=	true	true	true	true	false	false	false	false	false
岩手県	陸前高田	33	1629	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1629&year=&month=&day=&view=	true	true	true	true	false	false	false	false	false
岩手県	一方井	33	1653	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1653&year=&month=&day=&view=	false	false	false	false	false	false	false	false	false
